market_id,market_name,street,city,state,zip,lat,lon
1008054,Airport Farmers and Flea Market,17375 Spring Hill Dr,19,7,34604,28.481294,-82.441514
1008612,Alachua County Farmers' Market,5920 NW 13th Street,20,7,32653,29.7106652,-82.352515
1018304,Alamo Heights Farmers Market,255 E Basse,21,14,78209,29.493258,-98.481174
1004070,Alamosa Farmers Market,Corner of 6th Street and State Avenue's Parking Lot,22,15,81101,37.467321,-105.865006
1021689,Albany Farmers' Market,4th & Ellsworth,23,16,97321,44.635052,-123.106097
1019371,Albany IN Farmers Market,208 E. State Street,23,17,47320,40.299191,-85.235831
1021578,Albany Square Farmers Market,,23,18,64402,40.247729,-94.333605
1000519,Alexandria Bay Farmers Market,Route 12,24,19,13607,44.331171,-75.916118
1019113,Alexandria Farmers Market,Broadway & Second Ave,25,20,56308,45.890762,-95.375902
1021464,Alexandria Farmers Market,2727 JACKSON STREET,25,10,71301,31.294467,-92.466488
1021597,Algoma Sunday Farmers Market,Clark St. and Lake St.,26,21,54201,44.607438,-87.435983
1019831,Allen County Farmers' Market,Jefferson,27,22,66749,37.927427,-95.400669
1019832,Allen County Farmers' Market,807  N. State,28,22,66749,37.927427,-95.400669
1012389,Aloha Community Farmers' Market,17675 SW Farmington Rd and SW Kinnaman Rd,29,16,97007,45.480164,-122.858722
1020150,Alturas Farmers Market,108 S Main St,30,3,96101,41.483907,-120.542201
1021309,Ambler Farmers' Market,29 West Butler Pike,31,11,19002,40.153501,-75.225298
1011171,Ames Main Street Farmers' Market,300 & 400 Blocks of  Main Street,32,23,50010,42.025222,-93.614943
1003563,Amicalola Regional Farmers Market,186 Recreation Road,33,24,30534,34.437795,-84.099043
1019438,Amqui Station Farmers Market,303 Madison Street,34,13,37115,36.257792,-86.717491
1012157,Anaconda Community Market,Kennedy Common (306 Main),35,25,59711,46.099059,-113.139108
1005944,Anacortes Farmers Market,611 R Avenue,36,8,98221,48.516974,-122.609181
1019647,Anderson County Farmers Market,402 N. Murray Ave,37,26,29621,34.506898,-82.652197
1020084,Anderson County Farmers Market,1505 US-127 N,38,27,40342,38.076447,-84.917629
1003516,Andersonville Farmers Market,1500 W. Catalpa Ave.,7,5,60640,41.981745,-87.668602
1020060,Andover Farmers Market,41 Central Street,39,28,1810,42.653616,-71.143138
1019484,Annandale Farmers Market,6621 Columbia Pike,40,9,,38.832801,-77.196229
1019096,Annandale Farmers Market - ACT,25 East Cedar St,40,20,55302,45.2636097,-94.1238322
1018934,"Antigo Farmers Market, Inc.",420 Field Street,41,21,54409,45.138703,-89.14985
1019350,Antioch's Farmers Market,900 Skidmore Drive,42,5,60002,42.478128,-88.09457
1000431,Appleton Downtown Farm Market,100 College Avenue,43,21,54911,44.26201,-88.40703
1021359,Aquidneck Growers Market - Wednesday,Memorial Blvd,44,29,2840,41.483658,-71.305831
1021733,Aquidneck Growers Market Miantonomi Community Farmers Market,120 Hillside Avenue,44,29,2840,41.509894,-71.30979
1021732,Aquidneck Growers Market- Saturday Summer,35 Dexter St,44,29,2840,41.509123,-71.304555
1019662,Arlington Village Farmers Market,3904 VT-7A,45,0,5250,43.072884,-73.146078
1019904,Armory Farmers Market,85 Parade St,46,29,2909,41.814767,-71.4316
1019222,Arnold Farmers Market,2400 Bradley Beach Road,47,18,63010,38.453275,-90.353093
1019495,Artisan Alley Farmers and Makers Market,Artisan Alley,48,7,32720,29.027562,-81.304341
1020068,Artistlane Farmers Market,1966 Broad Street,49,24,30904,33.365531,-82.073422
1009810,Ashland Farmers Market,125 Front St,50,28,1721,42.260027,-71.461538
1021627,Astoria Sunday Market,12th and Commercial St.,51,16,97103,46.188719,-123.83015
1001245,ASU Regional Farmers' Market,3300 Aggie Road,52,30,72401,35.840771,-90.667327
1002984,Atchison Farmers Market,Between 5th and 6th Streets on the south side of Main Street,53,22,66002,39.560737,-95.119878
1005086,Athens Farmers Market,1002 East State Street,54,4,45701,39.336038,-82.056622
1018033,"Athens Farmers Market, L.L.C.",271 W Hancock Ave,54,24,30601,33.959088,-83.380247
1018032,"Athens Farmers Market, LLC",705 Sunset Dr,54,24,30606,33.9644564,-83.4121317
1021450,Athol Farmers Market,30355 N 3rd Street,55,31,83801,47.944594,-116.707904
1018330,"Attleboro Farmers Market, inc",201 County Street,56,28,2703,41.937562,-71.299235
1021225,Atwater Village Farmers' Market,3528 Larga Ave,57,3,90039,34.117828,-118.260151
1019789,Auburn Farmers Market,1140 Auburn Way S,58,8,98002,47.298267,-122.218459
1021329,Aurora Farmers Market,170 Main Street,59,19,13026,42.744684,-76.699995
1000559,Aurora Local Farmer's Market - Summer Market,2031 S. Elliott Ave.,59,18,65605,36.948908,-93.7201867
1021534,AUSTIN FARMERS MARKET,9607 RESEARCH BLVD,60,14,78759,30.387094,-97.741448
1019396,Avon Farmers Market,8190 E US Highway 36,61,17,,39.765279,-86.38263
1019126,Avon Library Farmers Market,"281 COUNTRY CLUB RD., C/O AVON LIBRARY",62,32,6001,41.78971,-72.860448
1021528,Backyard Market in Black Forest,12530 Black Forest Rd,63,15,80908,39.014791,-104.702384
1021530,Backyard Market in Black Forest - Holiday,13710 Black Forest Road,63,15,80908,39.029861,-104.701697
1021529,Backyard Market in Black Forest - Winter,6845 Shoup Road,63,15,80908,39.013991,-104.698264
1019044,Bainbridge Farm Market,201 Grant Ave,64,17,46105,39.7622329,-86.817696
1019076,Baldwin's Main St. Farmers Market,Main St. and 6th Ave.,65,21,54002,44.966999,-92.370763
1021338,Ballard Farmers Market,5300 Ballard AVE NW,66,8,98107,47.667512,-122.3845
1021521,Bamberg Farmers Market,12205 Heritage Hwy,67,26,29003,33.300136,-81.031222
1012081,Bangor Farmers' Market,Corner of Franklin and Harlow Streets,68,33,4401,44.8039587,-68.771649
1021582,Barm Bargains Market,3782 Winding Creek Ln,69,3,95633,38.840227,-120.878152
1001604,Barnegat Farmers Market,14 Birdsall St.,70,2,8005,39.753903,-74.221654
1020029,Barrow County Farmers Market,30 N. Broad St,71,24,30680,33.993074,-83.721123
1003335,Basalt Sunday Market,101 Midland Avenue,72,15,81621,39.368957,-107.034736
1019871,Bassett Farmers Market,200 Clark St.,73,1,68714,42.582541,-99.536625
1000436,Bastrop 1832 Farmers Market,1302 Chestnut Street,74,14,78602,30.111777,-97.311627
1021540,Batavia Farmers' Market,North River Street,75,5,60510,41.851028,-88.306027
1021265,Batesville Farmers Market,Main and Boehringer Street,76,17,47006,39.298852,-85.221859
1021443,Battle Creek Farmers Market,25 S McCamly St,77,6,49017,42.32009,-85.18515
1019617,Bay Area Farmers Market,500 Baybrook Mall Drive,78,14,77546,29.548702,-95.150682
1019874,Beatrice Farmers Market Indian Creek Mall,Indian Creek Mall 2205 N 6th St,79,1,68310,40.273594,-96.747301
1020102,Beattyville Main Street Marketplace Locally Made Market,26 Hwy 52 W,80,27,41311,37.591129,-83.705633
1018735,Beaumont Farmers' Market,,81,14,77707,30.067686,-94.169203
1019875,Beaver City Farmers Market,,82,1,,40.138332,-99.827615
1020097,Beaver Dam Farmer's Market,Hwy 231 South,83,27,42320,37.407199,-86.877647
1021630,Beaverdale Farmers Market,4801 Franklin Avenue,84,23,50310,41.612479,-93.68471
1019853,Bedford Farmers Market,209 Route 101,85,34,3110,42.938268,-71.525849
1019400,Bedminster Farmers Market,3055 River Road,86,2,7921,40.662856,-74.646889
1010607,Bel Air Farmers' Market,2 South Bond Street,87,35,21014,39.535284,-76.351011
1011902,Belleville Farmer's Market,1815 M St.,88,22,66935,39.822988,-97.630924
1021363,Belleville Farmers Market,Main and 4th,88,6,48111,42.201917,-83.482812
1008140,Bellingham Farmers Market,1207 10th Street,89,8,98226,48.75262,-122.469657
1002064,Belmont Farmers Market,5429 State Route 19N,90,19,14813,42.234077,-78.053508
1011363,Belton Farmers Market,Memorial Park,91,18,64012,38.808556,-94.525252
1001316,Bemidji's Natural Choice Farmers Market,Union Square Parking Lot--2nd Street & Paul Bunyan Drive,92,20,56601,47.469337,-94.880609
1001533,Benica Certified Farmers Market,First Street between B & D Streets,93,3,94510,38.046215,-122.161188
1018644,Bennet Farmers' Market,Elm and Harrison,94,1,68317,40.680612,-96.503262
1021403,Bentonville Farmers Market,100 N. Main Street,95,30,72712,36.372637,-94.208458
1005183,Berkeley Springs Farmers Market,129 Fairfax Street at Washington Street/522,96,36,25411,39.624722,-78.227534
1019005,Berkey Farmers Market,12290 Sylvania-Metamora Rd,97,4,43504,41.715538,-83.839418
1021628,Berwick Winter Farmers Market,11 Sullivan St.,98,33,3901,43.269956,-70.86243
1019168,BESSEMER FARMERS MARKET,1st Avenue N and 19th Street,99,37,35020,33.40113,-86.95137
1019169,Bessemer Farmers Market at Medical West,995 9th Ave SW,99,37,35022,33.373082,-86.990644
1019967,Bethalto Market In The Park,213 N Priaire St,100,5,62010,38.902967,-90.053468
1021322,"BETHANY BEACH FARMERS' MARKET, INC.",601 castle court,101,38,19930,38.538397,-75.056515
1010406,Bethesda Central Farm Market,7600 Arlington Road,102,35,20814,38.986761,-77.09989
1012494,Bethlehem Farmers' Market,Intersection of New and Morton Streets,103,11,18015,40.6098058,-75.3784029
1020196,Beverly Hills Farmers Market,9300 Civic Center Dr,104,3,90210,34.073685,-118.398746
1019765,Bexley Farmers Market,E Main St and S Dawson Ave,105,4,43209,39.957135,-82.935745
1005949,Big Bear Farmers Market,42900 Big Bear Blvd,106,3,92315,34.260803,-116.866714
1019338,Big Lake Farmers Market,101 Lakeshore Drive,107,20,55309,45.333773,-93.758167
1019339,Big Lake Winter Farmers Market,311 Lake Street South,107,20,55309,45.329205,-93.747475
1019591,Billerica Farmers Market,25 Concord Road,108,28,1821,42.557646,-71.269999
1021508,Birdsboro Farmers Market,226 N Water St,109,11,19508,40.262329,-75.810113
1011037,BisMarket,,110,39,58501,46.803081,-100.796471
1012163,Blairstown Farmers' Market,5 Stillwater Road,111,2,7825,40.982893,-74.955689
1011829,Bloomfield Saturday Market,5050 Liberty Ave,112,11,15224,40.459005,-79.944435
1018396,Bloomington Community Farmers' Market,401 N MortonSt,113,17,47404,39.1703084,-86.5369425
1018563,Bloomington Winter Farmers' Market,1601 S Rogers St,114,17,47403,39.149906,-86.539649
1019932,Blue Ash Farmers Market,4335 Glendale Milford Road,115,4,45242,39.251798,-84.389892
1020098,"Bluegrass Farmers Market, Inc",1837 Plaudit Place,116,27,40509,38.014875,-84.418747
1019372,Bluffton Farmers Market,102 S Main St,117,4,45817,40.893082,-83.892721
1019440,Bluffton Farmers' & Artisans' Market,360 N Main St,117,17,46714,40.743479,-85.172111
1018092,BMI Farmers' Market,1415 Key Highway,118,35,21230,39.273864,-76.601326
1018313,Boise Farmers Market,10TH & GROVE  - SUMMER MARKET,119,31,83702,43.532957,-116.444084
1018316,BOISE FARMERS MARKET,516 S. 8th Street,119,31,83702,43.60798,-116.19193
1020101,Boone County Farmers Market,1961 Burlington Pike,120,27,41005,39.022231,-84.721563
1006833,Boone Farmers Market Association,7th and Story Street,121,23,50036,42.062726,-93.879688
1019318,Boonville Farmers Market Inc,1931 Boone Village Shopping Center,122,18,65233,38.955643,-92.741591
1019693,Botetourt Farmer's Market,90 Town Center St,123,9,24083,37.417795,-79.912646
1018394,Bottineau Farmers Market,6th Street and Main Street,124,39,58318,48.8262788,-100.4459433
1001526,Boulder Farmers and Artisan's Market,304 N. Main Street,125,25,59632,46.239153,-112.117592
1019165,Bowie Farmers' Market,15200 Annapolis Road,126,35,20715,38.97832,-76.741902
1020096,Boyd County Farmers Market - King's Daughters Medical Center,2420 Center Street,127,27,41129,38.470783,-82.630489
1020099,Boyd County Farmers Market - KYOVA Mall,10699 US-60,50,27,41102,38.400138,-82.712555
1019205,Boyne City Farmers Market,319 N. Lake St,128,6,49712,45.21685,-85.015378
1021248,Braeswood Farmers Market,5401 south braeswood,129,14,77096,29.676944,-95.477537
1018227,Braintree Farmers Market,1 JFK Memorial Dr,130,28,2184,42.206437,-71.004927
1002407,Brattleboro Area Farmers' Market,570 Western Ave.,131,0,5301,42.8499,-72.58407
1011075,Brattleboro WInter Farmers' Market,80 Flat St.,131,0,5301,42.850844,-72.560166
1020113,Breathitt County Farmers' Market,3215 Quicksand Road,132,27,41339,37.535327,-83.348327
1018556,Bremerton Community Farmers Market,1400 Park Ave,133,8,98337,47.574253,-122.628866
1019146,Bridgewater Farmer's Market,1 Vogt Drive,134,2,8807,40.588552,-74.607976
1018756,Brigham City Farmers Market,20 N Main Street,135,40,84302,41.510773,-112.015057
1005483,Brimfield at Hitchcock Free Academy,"Hitchcock Free Academy, a community center parking lot, at  2 Brookfield Rd.",136,28,1010,42.122751,-72.199901
1019905,Broad St. Farmers Market,807 Broad St.,46,29,2907,41.801869,-71.41892
1019257,Broadway Farmers Market,161 S Main St,137,9,22815,38.611375,-78.799904
1019984,Brockton Farmers Market,45 School St,138,28,2301,42.082799,-71.018866
1019794,Bronzeville Growers Market,925 E. Mt. Vernon Avenue,139,4,43203,39.97139,-82.976997
1019527,BROOKINGS HARBOR FARMERS MARKET,15786 HWY 101 SOUTH,140,16,97415,42.037301,-124.244963
1021210,Brookline Farmers' Market,Centre Street West PArking Lot,141,28,2446,42.34219,-71.123782
1021736,Brookside Farmers' Market,6425 Wornall Road,142,18,64113,39.125212,-94.551136
1018891,Brooksville Farmers' Market,15487 Citrus Way,19,7,34614,28.654639,-82.449304
1021515,Brookville Farmer's Market,116 Main Street,143,17,47012,39.412804,-85.012083
1021262,Broome County Regional Farmers Market,840 Upper Front St,144,19,13905,42.129759,-75.904648
1019906,Brown University Farmers Market,201 Thayer St,46,29,2906,41.826418,-71.400031
1019727,Brownsburg Farmers Market,61 N. Green Street,145,17,46112,39.844272,-86.396445
1017968,Bruce Community Farmers Market,Corner of Hwy 8 and N Alvey Street,146,21,54819,45.4551101,-91.2746971
1008607,Brunswick-Topsham Land Trust Farmers' Market at Crystal Spring Farm,277 Pleasant Hill Rd,147,33,4011,43.890786,-69.995923
1021311,Bryn Mawr Farmers' Market,775 Lancaster Avenue,148,11,19010,40.021168,-75.317067
1019218,Buckroe Beach Farmers Market,100 N. First Street,149,9,23664,37.041273,-76.291807
1008953,Bucksport Bay Farmers' Market,99 Main Street,150,33,4416,44.572636,-68.796497
1000843,Burbank Certified Farmers' Market,"150 N. Third Street Burbank, CA 91502",151,3,91502,34.1828004,-118.3079771
1019492,Burke,5671 Roberts Parkway,152,9,22015,38.776991,-77.263568
1021524,Burke Area Farmers Market,626 County Road,152,41,57523,43.185042,-99.299066
1019965,Burlington Farmers Market,345 Pine Street,120,0,5401,44.46973,-73.215415
1021728,Burrillville Farmers Market,75 Tinkham Lane,153,29,2830,41.967496,-71.677124
1002567,"Butler County Farmers Market, Greenville, AL",701 Cedar,154,37,36037,31.830281,-86.617709
1001362,Butte Farmers Market,Uptown Butte,155,25,59701,46.01269,-112.5364
1021238,Buy Local Farmers Market - Fall Creek,7930 Fall Creek Bend,156,14,77396,29.93294,-95.269976
1021614,C & C Garden,2022 S Scott St,157,17,46613,41.657676,-86.26681
1020089,Cadiz/Trigg County Farmers Market,7 0 Main Street,158,27,42211,36.862889,-87.835998
1004927,Cagan Crossings Farmers' Market,600 Cagan Park Ave.,159,7,34714,28.355644,-81.678425
1019922,CalaverasGROWN Certified Farmers' Market San Andreas,891 Mountain Ranch Road,160,3,95249,38.191243,-120.667822
1019978,CalaverasGROWN Murphys Certified Farmers' Market,505 S. Algiers St.,161,3,95247,38.13686,-120.463811
1018263,Caledonia Farmers Market Association - Winter,Pearl St,162,0,5819,44.417224,-72.016831
1019980,Caledonia Outdoor Market,3920 N Greenbay Rd,163,21,53404,42.769605,-87.822883
1020188,California Avenue Farmers' Market,"California Avenue, at El Camino",164,3,94306,37.46778,-122.13255
1018459,California Farmers Market,22810 Three Notch Road,165,35,20619,38.294524,-76.499596
1019997,Camarillo Hospice Certified Farmers Market,2220 Ventura Blvd.,166,3,93010,34.216518,-119.041574
1020160,Cambria Farmers Market,1000 Main Street,167,3,93428,35.564323,-121.096629
1020183,Cambrian Park Farmers' Market,Camden Avenue and Union Avenue,168,3,95124,37.296867,-121.819306
1002674,Camellia City Farmers Market,333 Erlanger Ave. (corner of 3rd. St.),169,10,70458,30.275994,-89.780754
1021575,Cameron Park Burke Junction Certified Farmers Market,Burke Junction Shopping Certer,170,3,95672,38.657829,-120.973615
1020117,Campbell County Farmers Market Association,7634 Alexandria Pike,25,27,41001,38.97801,-84.392139
1020118,Campbell County Farmers Market Association,3504 Alexandria Pike,171,27,41075,39.028829,-84.451866
1020119,Campbell County Farmers Market Association,709 Monmouth St,44,27,41071,39.090164,-84.491761
1020184,Campbell Farmers' Market,Campbell Avenue & Central Avenue,172,3,95008,37.280232,-121.954352
1009034,Canal District Farmers Market,200 Harding Street,173,28,1604,42.256235,-71.797436
1019810,Canal Market District,36 East Canal Street,174,4,43055,40.056586,-82.401032
1021202,Canal Village Farmers' Market,127 West Center Street,175,19,14103,43.220102,-78.388368
1012038,Canoga Park Certified Farmers Market,7248 Owensmouth st,176,3,91303,34.203746,-118.601612
1019772,Canton Farmers Market,500 North Ridge Road,177,6,48188,42.308841,-83.533591
1021435,Canton Farmers' Market,300 Market Ave N,177,4,44702,40.80065,-81.374888
1021294,Cape Coral Farmers Market,SE 47th Terrace & SE 10th Place,178,7,33904,26.564457,-81.954459
1021655,Cape Riverfront Market,35 S Spanish Street,179,18,63703,37.302782,-89.519952
1011930,Capital City Farmers Market,126 West Loockerman Street (Loockerman Way Plaza),180,38,19904,39.1576541,-75.5262294
1018359,Capital Harvest on the Plaza,1300 Pennsylvania Avenue,181,42,20004,38.894748,-77.030256
1008450,Carmel Farmers Markets at the Barnyard Shopping Village,3690 The Barnyard,182,3,93923,36.9872756,-121.9270394
1006651,Carnation Farmers Market,Corner of Bird and Stossel,183,8,98014,47.648587,-121.912419
1019417,Carolina fresh market and more,6619 hwy 29 north,184,26,29669,34.641892,-82.4614
1021269,Carrboro Farmers' Market,301 W Main St,185,43,27510,35.910781,-79.077607
1008322,Carrollton Farmers Market,Carrollton Uptown Square,186,18,64633,39.358097,-93.496941
1021213,Carson Farmers Market @3rd & Curry St.,3rd & Curry St.,187,44,89703,39.162841,-119.768164
1020071,Carter County Farmers’ Market - Grayson,94 FAIRGROUND DR,188,27,41143,38.331557,-82.904359
1020074,Carter County Farmers’ Market - Olive Hill,131 Jessica Lane,189,27,41164,38.29761,-83.180887
1012093,Carver Farmers Market,108 Main St.,190,28,2330,41.888852,-70.769182
1021740,Casey Farm Market,2325 Boston Neck Rd.,191,29,2874,41.51301,-71.423314
1008276,Catawba County Public Health Farmers Market,3070 11th Ave Dr. SE,192,43,28602,35.712066,-81.269507
1019159,Catawba Valley Farmers Market,4965 Catawba Creek Road,193,9,24070,37.3835006,-80.1068482
1021242,CAVE SPRING FARMERS MARKET,6770 Cave Spring Rd SW,194,24,30124,34.132871,-85.30991
1012484,Cedar Mill Farmers Market,Corner Of NW Cornell and Murray Roads,195,16,97229,45.5263877,-122.8141034
1019842,Cedar Point Farmers Market,1046 Cedar Point Blvd.,196,43,28584,34.68261,-77.083526
1021362,Celina Farmers Market,1001 W Market St.,197,4,45822,40.549633,-84.582827
1018734,Celina's Friday Night Market,142 N Ohio Street,197,14,75009,33.3247511,-96.7869845
1021226,Central Avenue Farmers' Market,4301 S Central Ave,57,3,90011,34.005326,-118.256796
1019907,Central Falls Farmers Market,559 Dexter St,198,29,2863,41.885605,-71.39565
1019618,Central Kitsap Farmers Market,2251 NW Bucklin Hill Rd,199,8,98383,47.650238,-122.680109
1020142,Certified Farmers' Market Palm Springs - Indoor,401 S. Pavilion Way,200,3,92262,33.817078,-116.525258
1020141,Certified Farmers' Market Palm Springs - Outdoor,2300 E. Baristo Rd,200,3,92262,33.820251,-116.521181
1020058,CFFMA - Ft Washington Farmers Market - Sunday,NE Corner Friant and Ft Washington,201,3,93730,36.874654,-119.776881
1020057,CFFMA - River Park Farmers Market - Saturday,SE Corner Blackstone and Nees,201,3,93720,36.849327,-119.789099
1020056,CFFMA - River Park Farmers Market - Tuesday,SE Corner Blackstone and Nees,201,3,93720,36.849308,-119.789095
1019225,Challis Community Farmers Market,Challis City Park,202,31,83226,44.505154,-114.227231
1021267,Champlain Islands Farmers' Market - Wednesday,501 U.S Route 2,203,0,5486,44.661841,-73.323048
1021564,Champlain Islands Farmers' Market-Saturday,185 US Route 2,204,0,5458,44.7968758,-73.294874
1018886,Charles Town Farmers Market,100 block of South Samuel Street,205,36,25414,39.289073,-77.858454
1017995,Charleston Farmers Market,,206,30,72933,35.2970353,-94.0363153
1021741,Charlestown Land Trust Farmers' Market,4150 Old Post Road,207,29,2813,41.38411,-71.621941
1011689,Charlotte Regional Farmers Market,1801 Yorkmont Road,208,43,28217,,
1005834,Chatham Farmer's Market,1652 Main Street Rte 28,209,28,2633,41.676615,-69.962249
1019881,Chatter Box Farmers Market in Tekamah,,210,1,,41.775832,-96.222387
1004754,Chelsea Farmers' Market,Corner of Rte 110 and Rte 113,211,0,5038,43.98878,-72.44747
1008606,Chesterfield County Farmers Market,near 6701 Mimms Loop,212,9,23832,37.376728,-77.504419
1021310,Chestnut Hill Farmers' Market,7673 Germantown Avenue,213,11,19118,40.06776,-75.196931
1020128,Chico Certified Farmers Market - Chico Saturday,2nd and Wall Streets,214,3,95927,39.730823,-121.838323
1020129,Chico Certified Farmers Market - Chico Wednesday,North Valley Plaza Mall,214,3,95926,39.758425,-121.848452
1020127,Chico Certified Farmers Market - Paradise Tuesday,6491 Clark Road,215,3,95969,39.77368,-121.595446
1001763,Chilhowie Farmer's Market,East Lee Highway between Chestnut and Pine Avenues (Warrior Park),216,9,24319,36.80295,-81.676633
1019104,China Grove Farmers Market,308 North Main Street,217,43,28023,35.570981,-80.5778246
1008409,Chippewa Falls Farmers Market,1 S. Bridge Street,218,21,54729,44.934888,-91.389337
1021237,Church St Farmers Market,6730 Church St,219,24,30134,33.749649,-84.750061
1004360,Church Street Farmers' Market,603 Church Street,220,9,23824,37.077437,-78.008079
1021653,Circle Square Commons Farmers Market,8445 SW 80th Street,221,7,34481,29.106489,-82.257895
1019141,City Center Farmers Market,200 Sanborn Street,222,26,29501,34.198789,-79.773582
1005250,City Hall Parking Lot Deck (People's Open Market),Alapai & Beretania Street,18,12,96813,21.305408,-157.852699
1021199,City Heights Certified Farmers Market,4325 Wightman St.,223,3,92104,32.747817,-117.101527
1019717,City Market,1150 South Gay Street,58,37,36830,32.584813,-85.475592
1004255,City of Loveland Farmers Market,700 S. Railroad,224,15,80537,40.387479,-105.078652
1017956,City of North Adams Farmers' Market,"St. Anthony Municipal Parking Lot, at the intersection of Rte. 8 (Marshall St.) and St. Anthony Drive",225,28,1247,42.700694,-73.112792
1017930,City of Pittsburgh Carrick Farmers Market,1529 Brownsville Road,112,11,15210,40.400201,-79.988803
1000303,City of Plymouth Farmers Market,15500 County Road 6,226,20,55447,44.997274,-93.473419
1021433,City of Seven Hills Farmers Market,7221 Broadview Road,227,4,44131,41.369164,-81.684217
1021420,City of St. Clair Shores Farmers Market,24800 Jeffereson,228,6,48080,42.6958071,-82.932268
1006460,City of White Bear Lake Farmer's Market,"Clark Avenue, between 2nd and 3rd Street",229,20,55110,45.084125,-93.009953
1005940,CitySeed Edgewood Park Farmers Market,corner of Whalley Ave. and West Rock Ave.,230,32,6515,41.325348,-72.958562
1005941,CitySeed Fair Haven Farmers Market,Corner of Front St. and Grand Ave.,230,32,6513,41.308956,-72.888848
1019206,CitySeed Winter Market,115 Water St,230,32,6511,41.3011808,-72.9188338
1005943,CitySeed Wooster Square Farmers Market,DePalma Ct. between Chapel St. and Wooster St.,230,32,6511,41.303232,-72.917848
1002106,Claremont Farmers & Artisans Market,Harvard Avenue Between Bonita and First Streets,231,3,91711,34.095598,-117.716418
1019061,Claremont Farmers' Market,14 North Street,231,34,3743,43.375823,-72.339305
1000579,Clarence Hollow Farmers' Market,"New Town lot, 10717 Main St. (route 5)",232,19,14031,42.98032,-78.58945
1019840,Clarkston Farmers Market,"Beachview Park, Chestnut St",233,8,99403,46.410563,-117.039927
1021441,Clay Center Farmers Market,720 5th Street,234,22,67432,39.376936,-97.126471
1019110,Cleburne Farmers Market,141 S Ridgeway Drive,235,14,76033,32.339893,-97.407713
1019741,Clemmons Farmers Market,1150 S Peace Haven Road,236,43,27012,36.033223,-80.386699
1019704,Cleveland Park Farmers Market,"3400 Connecticut Ave NW, Washington, DC 20008",237,42,20008,38.934817,-77.058379
1018381,Clifton Park Farmers' Market,"971 Route 146, Shenendehowa United Methodist Church parking lot",238,19,12065,42.869606,-73.809271
1019823,Clinton Farmers Market,20 West Park Row,239,19,13323,43.048866,-75.378462
1019763,Clintonville Farmers' Market,N High St and W Dunedin Rd,139,4,43214,40.034269,-83.016501
1000549,Clio Market,21 College Street,240,37,36311,31.7078144,-85.619065
1002808,CMS Farmers Market,7500 Security Blvd.,241,35,21244,39.316055,-76.764414
1019474,Co-Operative Farmers Market,900 Barring Avenue,242,11,18508,41.422523,-75.662496
1018969,Coastal Growers Farmers Market,650 Ten Rod Rd.,243,29,2852,41.572691,-71.485463
1019821,Coastal Growers Market,2325 Boston Neck Rd,191,29,2874,41.512,-71.423632
1020135,Coastside Farmers' Market - Half Moon Bay,225 Cabrillo Highway,244,3,94019,37.46677,-122.437378
1020137,"Coastside Farmers' Market - Rockaway Beach, Pacifica",450 Old County Road,245,3,94044,37.609415,-122.495081
1021232,College Place Farmers & Artisan Market,801 SE Larch Avenue,246,8,99324,46.041708,-118.377845
1001290,Collinsville Farmers Market,Main St. and Route 179,247,32,6019,41.810819,-72.923264
1000210,Colorado Farm and Art Market,7350 Pine Creek Road,63,15,80919,38.937716,-104.814688
